As,Cr,Cu,Hg,Mo,Ni,Pb,Zn,Type
1.425515074,4.025351691,2.397895273,2.302585093,0.029558802,1.791759469,2.013568798,3.784189634,1
1.756132292,4.204692619,2.564949357,2.302585093,0.019802627,2.079441542,1.935859813,3.737669618,1
2.395164274,3.583518938,2.833213344,2.302585093,2.144761008,3.17805383,3.207612633,4.976733742,1
2.296567021,4.418840608,3.044522438,2.302585093,0.113328685,2.708050201,2.1690537,4.077537444,1
1.987874348,4.49980967,4.077537444,2.302585093,0.751416089,2.63905733,3.620065138,4.204692619,1
1.806648082,4.356708827,2.302585093,2.302585093,0.536493371,2.197224577,2.406945108,3.828641396,1
1.873339456,4.158883083,2.772588722,2.302585093,0.019802627,2.397895273,2.660259537,3.850147602,1
2.179286877,4.615120517,3.091042453,2.302585093,0.858661619,1.945910149,3.886500048,3.63758616,1
2.254444718,4.976733742,3.044522438,2.302585093,0.609765572,3.091042453,3.116178427,4.787491743,1
3.252310601,4.532599493,3.663561646,2.302585093,1.313723668,3.737669618,2.426571073,3.970291914,1
2.017566138,5.509388337,2.302585093,2.302585093,1.043804052,2.48490665,2.107786015,3.295836866,1
2.714694744,5.056245805,3.218875825,2.302585093,1.650579856,3.663561646,3.213260086,5.049856007,1
2.624668592,5.236441963,2.890371758,2.302585093,0.712949808,2.995732274,2.898670561,4.356708827,1
2.765689981,4.406719247,2.944438979,6.063785209,1.128171091,3.044522438,2.973997781,4.158883083,2
2.538447417,4.663439094,3.044522438,5.991464547,0.392042088,3.555348061,3.307619035,4.86753445,2
3.517497837,4.49980967,4.043051268,5.828945618,1.211940974,3.784189634,2.91993056,4.356708827,2
2.69934576,4.304065093,4.110873864,5.857933154,0.444685821,3.583518938,2.936512914,4.290459441,2
3.201526187,4.454347296,3.663561646,5.703782475,1.08180517,3.761200116,3.324316337,4.48863637,2
2.041220329,4.912654886,3.17805383,5.634789603,0.657520003,2.833213344,2.61958322,4.007333185,2
3.165475048,4.248495242,3.688879454,5.703782475,0.966983846,3.80666249,2.892591515,4.33073334,2
2.032087845,4.836281907,2.397895273,5.634789603,0.920282753,3.044522438,2.779440197,4.418840608,2
3.362456553,4.465908119,3.688879454,4.86753445,1.184789985,3.80666249,3.032546247,4.418840608,1
1.785070481,4.564348191,4.060443011,3.401197382,0.783901544,3.583518938,2.196112848,4.17438727,1
2.509599262,5.288267031,2.772588722,2.302585093,1.903598951,3.258096538,2.91939104,3.583518938,1
3.421979921,3.951243719,3.555348061,2.302585093,1.026041596,3.891820298,3.225652809,4.553876892,1
3.303584553,4.394449155,3.912023005,2.302585093,1.160020917,3.80666249,3.042138646,4.553876892,1
3.50013733,4.406719247,3.555348061,2.302585093,0.698134722,3.80666249,3.409496184,4.672828834,1
2.345644582,4.584967479,3.218875825,2.302585093,1.153731588,3.044522438,2.992226134,4.584967479,1
-0.634878272,5.627621114,2.995732274,2.302585093,1.057790294,2.995732274,1.935859813,3.401197382,1
3.117949906,4.48863637,3.33220451,2.302585093,1.121677562,3.784189634,3.158701102,4.442651256,1
0.947789399,5.247024072,2.197224577,2.302585093,0.779324877,2.397895273,2.163323026,3.295836866,1
1.255616037,5.036952602,1.791759469,2.302585093,1.578978705,2.833213344,2.458733775,3.688879454,1
3.758871826,5.010635294,3.784189634,5.298317367,1.986503546,3.891820298,4.450152464,6.118097198,1
2.265921109,4.682131227,3.295836866,3.688879454,0.819779831,2.833213344,2.57184858,3.737669618,1
1.677096561,4.477336814,3.17805383,2.995732274,0.425267735,2.890371758,2.795450391,3.850147602,2
2.129421474,4.060443011,2.708050201,2.995732274,0.862889955,2.708050201,2.31944221,3.912023005,1
0.536493371,4.290459441,1.791759469,3.401197382,-0.174353387,1.386294361,2.210469804,3.496507561,1
2.272125886,3.912023005,2.708050201,2.302585093,0.207014169,2.48490665,2.135349174,3.828641396,1
2.520917087,3.610917913,3.091042453,2.995732274,0.553885113,2.48490665,2.558002205,4.043051268,1
2.000127735,3.36729583,2.890371758,2.995732274,0.418710335,2.772588722,2.52332576,3.663561646,1
0.300104592,4.605170186,1.945910149,2.302585093,1.095273387,2.302585093,1.791759469,3.496507561,1
